sequencialPrecedente,tipoPrecedente,numeroPrecedente,dataPrimeiraAfetacao,dataJulgamento,dataPublicacaoAcordao,situacao,informacoesComplementares,questaoSubmetidaAJulgamento,teseFirmada,anotacoesNUGEPNAC,delimitacaoJulgado,entendimentoAnterior,referenciaLegislativa,referenciaSumular,sumulaOriginada,audienciaPublica,dataAudienciaPublica,orgaoJulgador,Assuntos,numeroRepercussaoGeralSTF,descricaoRepercussaoGeral
4640,Controvérsia,777,,,,Cancelada,,"Definir se incide a alíquota adicional de 1%, referente à Cofins-lmportação, prevista no § 21 do artigo 8° da Lei n° 10.865/2004, sobre às operações de importação ou de reimportação de aeronaves e/ou suas partes/peças.   ",,"Dados parcialmente recuperados via sistema Athos.A situação da presente controvérsia foi alterada para cancelada, em razão do disposto no art. 256-E, I, c/c com o art. 256-F, § 4º, do RISTJ, que preveem hipótese de rejeição fundamentada, pelo relator, da indicação do(s) recurso(s) especial(is) representativo(s) da controvérsia (decisões publicadas no DJEN de 12/03/2026).",,,,,,,,S1,10562- COFINS - Importação,,
4641,Controvérsia,778,,,,Cancelada,Situação alterada de pendente para cancelada em: 04/02/2025,"Definir se a decisão que exclui da execução um dos litisconsortes, prosseguindo-se o feito com relação aos demais coexecutados, desafia agravo de instrumento ou recurso de apelação.",,RRC de Origem (TJMA). IAC n.9/TJMA (0800971-91.2022.8.10.0109/MA). ,,,,,,,,CE,10893- Base de Cálculo,,
4643,Controvérsia,779,,,,Vinculada a Tema,,"Se o art. 15, § 1º, III, “e”, da Lei n. 9.249/1995, com a redação conferida pela Lei n. 12.973/2014, que estabelece a base de cálculo do Imposto de Renda das Pessoas Jurídicas - IRPJ e da Contribuição Social sobre o Lucro Líquido - CSLL para atividades de prestação de serviços, se aplica aos contratos de concessão do serviço público de transmissão de energia elétrica, nos quais foi pactuado o dever da concessionária de implantar/construir as redes transmissoras.",,Tema 1415/STJ.Dados parcialmente recuperados via sistema Athos - PGFN.,,,,,,,,S1,"5933- IRPJ/Imposto de Renda de Pessoa Jurídica, 5938- Incidência sobre Lucro, 5987- Suspensão da Exigibilidade, 6036- Contribuição Social sobre o Lucro Líquido, 5933- IRPJ/Imposto de Renda de Pessoa Jurídica",,
4644,Controvérsia,780,,,,Vinculada a Tema,,"Definir, nas ações em que se discute o desvio de energia elétrica antes do medidor:(i) o procedimento adotado para verificação do desvio, apuração, notificação e a participação do consumidor, respeitam os princípios do contraditório e ampla defesa, bem assim das normas consumeristas (Arts. 4º, I; 6º, IV, VI e VIII; 14 e 51, IV, todos do CDC)(ii) (i)legalidade da cobrança de faturas apuradas por valor estimado pela concessionária, tendo em vista a ausência de registro pelo medidor (Arts. 4º, I; 6º, IV, VI e VIII; 14; 42 caput e 51, IV, todos do CDC)(iii) a (im)possibilidade do corte administrativo nos casos de desvio de energia elétrica antes do medidor (Arts. 4º, I; 6º, IV, VI e VIII; 14; 22; 42 caput e 51, IV, todos do CDC) e,(iv) a condenação por danos morais decorrente das cobranças por estimativa realizadas pela concessionária e do corte do fornecimento de energia (Arts. 6º, VI e VIII do CDC e 187, 927 e 884 do CC).",,RRC de Origem (TJPE).Controvérsia vinculada ao Tema 1436 (ProAfR 511).,,,,,,,,S1,"4703- Defeito, nulidade ou anulação, 11811- Práticas Abusivas, 12416- Tutela de Urgência",,
4645,Controvérsia,781,,,,Vinculada a Tema,,"Nos casos de pedido de gratuidade de justiça formulado por pessoa jurídica, nos termos do art. 98, caput, do CPC, quais documentos devem ser considerados hábeis e idôneos à comprovação da hipossuficiência.Definir se a apresentação de Declaração de Débitos e Créditos Tributários Federais (DCTF) e de declaração assinada por contador é suficiente para atestar a ausência de atividade econômica e/ou a insuficiência financeira da empresa.",,RRC de Origem (TJPE).Controvérsia vinculada ao TEMA 1424/STJ (ProAfR 493). ,,,,481,,,,CE,"9607- Contratos Bancários, 8843- Assistência Judiciária Gratuita",,
4646,Controvérsia,782,,,,Vinculada a Tema,,"Verificar se os efeitos da tese jurídica firmada no Tema 1.080 do STJ também se aplicam ao Fundo de Saúde do Exército (FUSEX) e ao Fundo de Saúde da Marinha (FUSMA), para fins de manutenção do direito à assistência médico-hospitalar da filha solteira sem remuneração, pensionista e ex-esposa de militar falecido.",,RRC de Origem (TRF5).Aplicação ou distinção do TEMA 1080/STJ.ProAfR 514 retirada de pauta em 13/5/2026.Controvérsia vinculada ao TEMA 1.080/STJ.,,,,,,,,S1,10356- Assistência Médico-Hospitalar,,
4647,Controvérsia,783,,,,Vinculada a Tema,,Definir se a ausência de laudo toxicológico definitivo impede a condenação diante da sua suposta imprescindibilidade para fins de comprovação da materialidade delitiva. ,,Dados parcialmente recuperados via sistema Athos.Controvérsia vinculada ao Tema 1437 (ProAfR 492/STJ).,,,,,,,,S3,3608- Tráfico de Drogas e Condutas Afins,,
4648,Controvérsia,784,,,,Vinculada a Tema,,"Definir se, nas relações de trato sucessivo, em que a Fazenda Pública figure como devedora, quando houver omissão administrativa, a prescrição atinge o fundo de direito (o direito em si) ou somente as prestações que superarem quinquênio anterior ao ajuizamento da demanda.",,RRC de Origem (TJMA).ProAfR 478/STJ.Tema 1410/STJ.,,,,85,,,,S1,10701- Pagamento em Pecúnia,,
4651,Controvérsia,785,,,,Cancelada,Situação alterada de pendente para cancelada em: 17/04/2026.,Definir se os atos sem conteúdo decisório ou instrutório possuem aptidão para interromper a prescrição intercorrente no âmbito do processo administrativo sancionador.,,"Dados parcialmente recuperados via sistema Athos.A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisões publicadas no DJEN de 17/04/2026).",,,,,,,,S1,"5632- Prescrição e Decadência, 10112- Revogação/Anulação de multa ambiental",,
4655,Controvérsia,786,,,,Vinculada a Tema,,"Definir se as bonificações/descontos compõem a base de cálculo do PIS/COFINS, nos termos do art. 1º, §3º, V, ""a"", das Leis nº 10.637/2002 e 10.833/2003.",,Dados parcialmente recuperados via sistema Athos.Tema 1412/STJ.,,,,,,,,S1,6035- Cofins,,
4656,Controvérsia,787,,,,Cancelada,,"Definir se os correspondentes bancários podem realizar visitas domiciliares a aposentados e pensionistas do INSS para oferecimento de empréstimos consignados, e se os contratos realizados dessa forma são válidos.",,RRC de Origem (TJMA).Proposta de IAC.,,,,,,,,S2,9607- Contratos Bancários,,
4657,Controvérsia,788,,,,Cancelada,Situação alterada de pendente para cancelada em: 06/5/2026.,"Saber se valores pagos a título de dobra de regime (ou dobra offshore), percebidos por trabalhadores embarcados no regime previsto na Lei 5.811/1972, possuem natureza remuneratória ou indenizatória, para fins de incidência do Imposto de Renda da Pessoa Física (IRPF).",,RRC de Origem (TRF2).A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-G do RISTJ que prevê hipótese de rejeição presumida da condição de representativo da controvérsia quando ultrapassado o prazo de 60 dias úteis.,,,,,,,,S1,5921- Incidência sobre Licença-Prêmio/Abono/Indenização,,
4660,Controvérsia,789,,,,Vinculada a Tema,,"Definir se é possível a interrupção do cumprimento da pena nos dias em que houver registro de violação do monitoramento eletrônico, à razão de um dia para cada descumprimento registrado pela Central de Monitoramento.",,Dados parcialmente recuperados via sistema Athos.,,,,,,,,S3,"3608- Tráfico de Drogas e Condutas Afins, 10987- Tráfico Ilícito de Drogas praticado por Funcionário Público",,
4661,Controvérsia,790,,,,Vinculada a Tema,Instauração do IRDR 23/TJMG sobre a matéria.,"Definir se é possível a aplicação analógica do art. 142, § 2º da Lei n. 8.112/90, nos casos em que a lei local não disciplina de maneira expressa a prescrição da pretensão punitiva quando a infração disciplinar também é capitulada como crime.",,Dados parcialmente recuperados via sistema Athos.Controvérsia vinculada ao TEMA 1445/STJ (ProAfR 512).,,,,,,,,S1,"3608- Tráfico de Drogas e Condutas Afins, 10987- Tráfico Ilícito de Drogas praticado por Funcionário Público",,
4662,Controvérsia,791,,,,Sem processo vinculado,"A situação da presente controvérsia foi alterada para sem processo vinculado e aguarda novos recurso(s) especial(is) representativo(s) da controvérsia em substituição aos processos rejeitados expressamente, pelo relator, com fundamento no art. 256-E, I, do RISTJ ","Definir se o trabalhador rural da lavoura de cana-de-açúcar faz jus à contagem especial de tempo de serviço por presunção de penosidade da atividade, sem a comprovação da efetiva exposição ao agente nocivo. ",,Dados parcialmente recuperados via sistema Athos.,,,,,,,,S1,"3608- Tráfico de Drogas e Condutas Afins, 10987- Tráfico Ilícito de Drogas praticado por Funcionário Público",,
4663,Controvérsia,792,,,,Cancelada,,"Definir o marco temporal para aferição da natureza hedionda do crime, para fins de indulto.",,Dados parcialmente recuperados via sistema Athos.A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-G do RISTJ que prevê hipótese de rejeição presumida da condição de representativo da controvérsia quando ultrapassado o prazo de 60 dias úteis.,,,,,,,,S3,"3608- Tráfico de Drogas e Condutas Afins, 10987- Tráfico Ilícito de Drogas praticado por Funcionário Público",,
4664,Controvérsia,793,,,,Vinculada a Tema,,"Definir a possibilidade de ajuizamento de cumprimento e liquidação de sentença coletiva no domicílio do substituto processual, independentemente do domicílio dos substituídos.",,RRC de origem (TJAL).Vide tema 480/STJ.Vide tema 723/STJ.Controvérsia vinculada ao TEMA 1451/STJ (ProAfR 526).,,,,,,,,CE,"3608- Tráfico de Drogas e Condutas Afins, 10987- Tráfico Ilícito de Drogas praticado por Funcionário Público",,
4666,Controvérsia,794,,,,Vinculada a Tema,,Definir se é cabível a condenação em honorários advocatícios na hipótese de procedência de ação rescisória manejada com a finalidade de obter a modulação temporal de efeitos estabelecida no Tema n. 69 da Repercussão Geral do Supremo Tribunal Federal.,,Tema 69/STF.,,,,,,,,S1,"3608- Tráfico de Drogas e Condutas Afins, 10987- Tráfico Ilícito de Drogas praticado por Funcionário Público",,
4667,Controvérsia,795,,,,Vinculada a Tema,Nota Técnica n. 52/2025 do Centro Nacional de Inteligência da Justiça Federal. ,"Definir se:(i) Seria possível reafirmar a jurisprudência estável, íntegra e atual do STJ em Tese Jurídica Vinculante quando disser respeito ao juízo de inadmissibilidade de recurso especial?(ii) Seria admissível a interposição de recurso especial para desafiar decisão unipessoal de relator proferida em segunda instância?",,RRC de origem (TJPA).Tema 1423/STJ.,,,,,,,,CE,"3608- Tráfico de Drogas e Condutas Afins, 10987- Tráfico Ilícito de Drogas praticado por Funcionário Público",,
4673,Controvérsia,796,,,,Vinculada a Tema,,Possibilidade de suspensão do prazo decadencial em favor de pessoa relativamente incapaz.,,Ampliação do TEMA 1321/STJ.ProAfR 486/STJ.,,,,,,,,CE,"6039- PIS, 6035- Cofins, 5946- ICMS/ Imposto sobre Circulação de Mercadorias",,
4676,Controvérsia,797,,,,Vinculada a Tema,,"Definir se a partir da MP 871/2019, para os filhos menores de 16 anos, a data de início do auxílio-reclusão será a data da prisão, quando requerido o benefício em até 180 dias após o fato gerador. E, a partir do requerimento administrativo, quandorequerido o benefício após o prazo de 180 dias, por expressa disposição do I, da art. 74, Lei 8.213/91.",,REsp no IRDR n. 35/TRF4  (IRDR 5044350-33.2023.4.04.0000/RS) - REsp em IRDR.Tema 1421/STJ.,,,,,,,,S1,6105- Auxílio-Reclusão (Art. 80),,
4677,Controvérsia,798,,,,Pendente," Interpretação conferida pelo Tribunal de origem acerca do arbitramento de aluguéis em razão do uso exclusivo do imóvel pelo ex-cônjuge, juntamente com a prole comum, encontra-se em consonância com a orientação das Terceira e Quarta Turmas do Superior Tribunal de Justiça. ","Definir se o uso exclusivo do imóvel comum pelo ex-cônjuge que nele permanece, quando os filhos do casal também residem no local sob sua guarda, enseja obrigação de indenizar o coproprietário alijado, a título de aluguel.",,,,,,,,,,S2,10462- Condomínio,,
4678,Controvérsia,799,,,,Vinculada a Tema,Entendimentos divergentes entre órgãos julgadores do SuperiorTribunal de Justiça.,"Definir se a ausência de manifestação do Judiciário quanto ao pedido de gratuidade de justiça leva à conclusão de seu deferimento tácito, a autorizar a interposição do recurso cabível sem o correspondente preparo, e, caso positivo, se esse entendimento é extensível ao pedido formulado por pessoa jurídica, à vista do art. 99, § 3º, CPC, e da Súmula nº 481/STJ.",,RRC de Origem (TJPE).Controvérsia vinculada ao TEMA 1450/STJ (ProAfR 525).,,,,481,,,,CE,9580- Espécies de Contratos,,
4680,Controvérsia,800,,,,Vinculada a Tema,,"Dever de custeio da musicoterapia, em favor de pessoas com transtorno do espectro autista, no âmbito de contrato de plano de saúde.",,Vide CT 226/STJ.Controvérsia vinculada ao TEMA 1.463/STJ (ProAfR 539).,,,,,,,,S2,12489- Tratamento médico-hospitalar,,
4681,Controvérsia,801,,,,Cancelada,,"Possibilidade de negativa do plano de saúde à cobertura de tratamento de reabilitação que utiliza o cavalo em abordagem interdisciplinar nas áreas de saúde, educação e equitação voltada ao desenvolvimento biopsicossocial da pessoa com deficiência.",,Vide CT 228/STJ.Vide Tema 1295/STJ.,,,,,,,,S2,"12489- Tratamento médico-hospitalar, 10433- Indenização por Dano Moral, 10439- Indenização por Dano Material",,
4682,Controvérsia,802,,,,Vinculada a Tema,Tema 1301/STF,"A incidência do Imposto de Renda Retido na Fonte (IRRF) sobre os valores recebidos por servidores públicos a título de abono decorrente do rateio de precatórios do FUNDEF/FUNDEB é legítima, quando configurado acréscimo patrimonial, ainda que legislação posterior tenha atribuído caráter indenizatório à verba?",,RRC de Origem (TJPA).Controvérsia vinculada ao TEMA 1446/STJ (ProAfR 518).,,,,,,,,S1,6052- Aposentadoria/Retorno aoTrabalho,,
4684,Controvérsia,803,,,,Cancelada,,Possível ilegalidade da cobrança da Taxa de Controle de Incentivos Ficais (TCIF) pela Superintendência da Zona Franca de Manaus (SUFRAMA).,,Dados parcialmente recuperados via sistema Athos.Tema 1.430/STF.A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-G do RISTJ que prevê hipótese de rejeição presumida da condição de representativo da controvérsia quando ultrapassado o prazo de 60 dias úteis.,,,,,,,,S1,5957- Federais,,
4686,Controvérsia,804,,,,Vinculada a Tema,,"Definir se, em caso de concurso de majorantes, segundo o art. 68 do Código Penal, é cabível ou não a aplicação cumulativa, sucessiva (ou em cascata) das causas de aumento no cálculo da terceira fase da dosimetria da pena.",,RRC da Origem (TJSC).,,,,,,,,S3,"12334- Promoção, constituição, financiamento ou integração de Organização Criminosa",,
4687,Controvérsia,805,,,,Vinculada a Tema,,"Definir se o marco temporal final para a concessão de abatimento de 1% do saldo devedor do Fies aos profissionais previstos no art. 6-B, III, da Lei n. 10.260/2001, que trabalharam no âmbito do SUS durante o período da pandemia da Covid-19, seria 31/12/2020, conforme estabelecido no Decreto Legislativo nº 6, de 20 de março de 2020, ou 22/04/2022, data em que o Ministério da Saúde editou a Portaria nº 913, que declarou o encerramento da emergência em saúde pública.",,"RRC de Origem (TRF5).Vide Controvérsia 575/STJ.Tema 372/TNU.A ProAfR nº 530 (Controvérsia 805/STJ) entrou em votação em 10/06/2026, mas no mesmo dia foi retirada de votação.  A ProAfR nº 530 (Controvérsia 805/STJ) entrou em votação na sessão de 17/06/2026 a 23/062026.Controvérsia vinculada ao TEMA 1461/STJ (ProAfR 538).",,,,,,,,S1,7770- Interpretação / Revisão de Contrato,,
4689,Controvérsia,806,,,,Vinculada a Tema,"A questão jurídica guarda semelhança com aquela da Controvérsia n. 797/STJ. Em ambas as hipóteses, discute-se a definição do termo inicial de benefício previdenciário requerido por menor de 16 anos, à luz das alterações promovidas pela MP n. 871/2019 na Lei n. 8.213/1991.","Definir o termo inicial do benefício de pensão por morte para o dependente menor de 16 anos, quando o óbito do segurado instituidor tenha ocorrido na vigência da MP n. 871/2019 e o requerimento administrativo tenha sido realizado após decorridos 180 dias da data do óbito.",,Dados parcialmente recuperados via sistema Athos.Tema 1421/STJ.,,,,,,,,S1,"6104- Pensão por Morte (Art. 74/9), 6177- Concessão",,
4692,Controvérsia,807,,,,Vinculada a Tema,,"1) Definir se a incidência de modulação de efeitos, para preservação da tutela de urgência deferida no caso concreto, impacta no resultado meritório da demanda e, por conseguinte, no ônus da sucumbência;2) Definir se a preservação dos efeitos de tutela provisória em razão de modulação decidida em julgamento repetitivo permite a repetição de indébito em caso de não concretização oportuna da medida.",,RRC de Origem (TJSP)Vide Tema 986/STJControvérsia vinculada ao Tema 1429 (ProAfR 506).,,,,,,,,S1,"5946- ICMS/ Imposto sobre Circulação de Mercadorias, 6007- Repetição de indébito",,
4699,Controvérsia,808,,,,Vinculada a Tema,,"(1) Em contrato de compra e venda de imóvel (lote), celebrado sob a vigência da Lei nº 13.786/2018, quando a rescisão se der por iniciativa do adquirente/consumidor, quais são os percentuais mínimo e máximo de retenção por parte do vendedor?(2) Qual é a base de cálculo para incidência do percentual de retenção: os valores efetivamente pagos pelo consumidor ou o valor atualizado do contrato?",,RRC de origem (TJMA).Vide Controvérsia 179/STJ.Controvérsia vinculada ao TEMA 1.464/STJ (ProAfR 540).,,,,,,,,S2,11811- Práticas Abusivas,,
4702,Controvérsia,809,,,,Pendente,Incidente de Assunção de Competência n. 8 do TJPE.,"Definir se o plano de saúde pode recusar ou limitar a cobertura de terapia multidisciplinar, inclusive o método ABA, prescrita para paciente com Transtorno do Espectro Autista; ainda que fora do ambiente clínico.",,"RRC de origem (TJMA e TJPE).Vide CT 800/STJ e CT 801/STJ.Vide Tema 1.295/STJ.Em 22/06/2026, o Ministro Relator determinou a redistribuição do feito, motivo pelo qual se reiniciou o prazo para afetação da controvérsia.",,,,,,,,S2,14760- Tratamento Domiciliar (Home Care),,
4706,Controvérsia,810,,,,Vinculada a Tema,,"Possibilidade de expedição de precatório ou requisição de pequeno valor (RPV), com ordem de restrição ao saque, antes do trânsito em julgado do cumprimento de sentença.",,RRC de origem (TRF5).Controvérsia vinculada ao Tema 1444 (ProAfR 519).,,,,,,,,S1,10718- Gratificações Por Atividades Específicas,,
4707,Controvérsia,811,,,,Vinculada a Tema,,"Definir, nas hipóteses de cumprimento individual de sentença coletiva em que se estabeleceu a condenação solidária dos réus, o cabimento do chamamento ao processo dos litisconsortes e o reflexo desse ato em relação à competência da Justiça Estadual.",,Dados parcialmente recuperados via sistema Athos.Vide TEMA 315/STJ.Controvérsia vinculada ao TEMA 1449/STJ (ProAfR 529).,,,,,,,,S2,"4964- Cédula de Crédito Rural, 9148- Liquidação / Cumprimento / Execução, 10945- Expurgos Inflacionários / Planos Econômicos",,
4709,Controvérsia,812,,,,Vinculada a Tema,,"Saber se a concessão da gratuidade da justiça, requerida com fundamento no art. 99, caput e § 7º, do CPC, em petição posterior à interposição do recurso, opera efeitos retroativos para alcançar encargos pretéritos ao requerimento, em especial para isentar o preparo recursal ou sua complementação.",,RRC de origem (TJPE).Controvérsia vinculada ao TEMA 1453/STJ (ProAfR 528).,,,,,,,,CE,9609- Locação de Móvel,,
4712,Controvérsia,813,,,,Vinculada a Tema,,"Definir se a sentença coletiva proferida na Ação Civil Pública nº 0005019-15.1997.4.03.6000 estende seus efeitos a servidores públicos federais não domiciliados no Estado do Mato Grosso do Sul, considerando que o art. 16 da Lei nº 7.347/1985 teve sua inconstitucionalidade reconhecida pelo STF no Tema 1.075, em julgamento posterior ao trânsito em julgado do referido título executivo.",,RRC de origem (TRF5).Controvérsia vinculada ao Tema 1433 (ProAfR 813).Vide TEMA 1.024/STJ. ,,,,,,,,S1,"10317- Índice de 28,86% Lei 8.622/1993 e 8.627/1993",,
4716,Controvérsia,814,,,,Sem processo vinculado,,Definir se a legitimidade para o cumprimento de sentença do título formado na Ação Coletiva 0006306-43.2016.4.01.3400/DF restringe-se aos juízes classistas aposentados sob a égide da Lei 6.903/1981 ou abrange todos os arrolados na petição inicial de ação coletiva ajuizada por associação de classe.,,Dados parcialmente recuperados via sistema Athos.,,,,,,,,S1,"10288- Sistema Remuneratório e Benefícios, 9518- Efeito Suspensivo / Impugnação / Embargos à Execução",,
4717,Controvérsia,815,,,,Vinculada a Tema,,"1) Nos contratos de compra e venda de imóvel, firmados antes da Lei nº 13.786/18 (Lei do Distrato), havendo rescisão, motivada pelo adquirente/consumidor, quais são os percentuais mínimo e máximo que a vendedora pode reter? 2) Nesses casos, qual é a base de cálculo: o valor total das parcelas pagas pelo adquirente/consumidor ou o valor do contrato?",,RRC de origem (TJMA).Vide CT 808/STJ.Controvérsia vinculada ao TEMA 1.465/STJ (ProAfR 541).,,,,,,,,S2,7768- Rescisão do contrato e devolução do dinheiro,,
4718,Controvérsia,816,,,,Vinculada a Tema,,"Definir se, em ações que discutem apenas a regularidade de fase de concurso público, sem proveito econômico imediato, aplica-se ou não o critério do art. 292, §2º, do CPC, para a fixação do valor da causa.",,RRC de Origem (TRF1).Controvérsia vinculada ao TEMA 1.456/STJ (ProAfR 532).,,,,,,,,S1,10378- Exame Psicotécnico / Psiquiátrico,,
4720,Controvérsia,817,,,,Pendente,,"Definir se é aplicável, por analogia, a exceção a que se refere o § 3º do art. 25 da Lei Complementar nº 101/00, às entidades privadas sem fins lucrativos para a celebração de convênios ou de contratos de repasse a fim de dispensá-las da comprovação dos requisitos a que se referem o Decreto nº 6.170/07 e a Portaria Interministerial nº 424/2016 para a transferência de recursos públicos.",,RRC de origem (TRF4).IRDR n. 33/TRF4 (032584-17.2022.4.04.0000/RS).,,,,,,,,S1,10957- Repasse de Verbas Públicas,,
4722,Controvérsia,818,,,,Vinculada a Tema,,"Definir se a dispensa de condenação em honorários da Fazenda Nacional, a que se refere o art. 19, § 1º, I, da Lei 10.522, de 2002, se restringe às hipóteses dos incisos I a VII do 'caput', ou se a listagem poderia ser considerada não exaustiva.",,RRC de Origem (TRF5).Controvérsia vinculada ao TEMA 1454/STJ (ProAfR 522). ,,,,,,,,S1,10399- Profissional,,
4723,Controvérsia,819,,,,Em Afetação,,"Definir se, nos contratos bancários, para a cobrança de juros com capitalização diária, basta a cláusula contratual prevendo essa incidência, ou a instituição financeira possui o dever de informar também a taxa de juros diária aplicada.",,,,,,,,,,S2,9582- Alienação Fiduciária,,
4725,Controvérsia,820,,,,Vinculada a Tema,,"Definir se é devido o pagamento retroativo das diferenças remuneratórias decorrentes do enquadramento de servidor do ex-Território de Roraima, que exerceu a opção pela transposição funcional para o quadro em extinção da Administração Federal. ",,Dados parcialmente recuperados via sistema Athos.Possível ampliação do TEMA 1.411/STJ.Controvérsia vinculada ao TEMA 1459/STJ (ProAfR 523).,,,,,,,,S1,10223- Enquadramento,,
4729,Controvérsia,821,,,,Vinculada a Tema,,"Definir se a cláusula de destinação residencial na convenção de condomínio impede o aluguel do imóvel via plataformas digitais ou se, para tanto, é necessária proibição explícita no texto da convenção condominial.",,Indicado para afetação por iniciativa do Ministro Relator.Vide Controvérsia 619/STJ.Controvérsia vinculada ao TEMA 1443/STJ (ProAfR 517). ,,,,,,,,S2,10466- Assembléia,,
4732,Controvérsia,822,,,,Vinculada a Tema,,"Definir se nos contratos de compra e venda de imóveis submetidos ao regime de patrimônio de afetação e firmados após a vigência da Lei nº 13.786/2018 (Lei do Distrato), a rescisão por inadimplemento do comprador autoriza o vendedor a reter até 50% (cinquenta por cento) das quantias pagas, nos termos do art. 67-A, § 5º, da Lei nº 4.591/1964.",,Dados parcialmente recuperados via sistema Athos.Vide Tema 808/STJ.Controvérsia vinculada ao TEMA 1.466/STJ (ProAfR 543).,,,,,,,,S2,10496- Promessa de Compra e Venda,,
4743,Controvérsia,823,,,,Pendente,,"Definir o órgão jurisdicional competente para o processamento e julgamento de execuções individuais de títulos executivos judiciais oriundos de mandados de segurança coletivos julgados, originalmente, por Tribunais de Justiça.",,RRC de Origem (TJBA).,,,,,,,,S1,"10718- Gratificações Por Atividades Específicas, 10672- Precatório",,
4754,Controvérsia,824,,,,Vinculada a Tema,,Definir se há incidência (ou não) dos tributos integrantes do Simples Nacional devidos pela pessoa jurídica sobre as verbas recebidas a título de gorjeta e repassadas aos seus empregados.,,RRC de Origem (TRF5).Controvérsia vinculada ao TEMA 1473/STJ (ProAfR 548).,,,,,,,,S1,"10563- Compensação de Prejuízo, 5938- Incidência sobre Lucro, 10873- Não Cumulatividade, 10874- Não Cumulatividade",,
4761,Controvérsia,825,,,,Pendente,,"Definir se a agravante prevista no art. 61, II, ""f"", do Código Penal, referente ao prevalecimento de relações domésticas, é aplicável ao crime de violência psicológica contra a mulher, tipificado no art. 147-B do mesmo diploma legal, ou se sua incidência configura bis in idem.",,Processos destacados de ofício pelo relator.Vide Controvérsia 479/STJ.Vide Tema 1.197/STJ. Vide Controvérsia 507/STJ.Vide Tema 1.215/STJ. Vide Controvérsia 708/STJ.Vide Tema 1.333/STJ. ,,,,,,,,S3,"12194- Contra a Mulher, 14942- Violência Psicológica contra a Mulher, 3426- Dano",,
4768,Controvérsia,826,,,,Pendente,,"Definir se a liquidação prévia do julgado é requisito indispensável para o ajuizamento de ação objetivando o cumprimento de sentença condenatória genérica proferida em demanda coletiva de direito privado, de modo que sua ausência acarrete a extinção da ação executiva, ou se o exame quanto ao prosseguimento da ação executiva deve ser feito pelo Magistrado com base no cotejo dos elementos concretos trazidos aos autos.",,RRC de Origem (TJSP).Vide Tema 1.169/STJ.Vide Tema 482/STJ.Resolução n. 339/2020 do CNJ.,,,,,,,,S2,"10677- Busca e Apreensão, 899- DIREITO CIVIL",,
4771,Controvérsia,827,,,,Pendente,,"1) Definir se, nos termos do art. 492, I, b, do Código de Processo Penal, somente poderão ser consideradas pelo Juiz Presidente, na formulação da dosimetria da pena, as agravantes e atenuantes alegadas e debatidas em plenário.2) Definir se o reconhecimento de circunstâncias agravantes e atenuantes de natureza objetiva, a exemplo da menoridade relativa, da senilidade e da reincidência, pressupõe debate específico em plenário ou se pode ser realizado pelo Magistrado com fundamento exclusivo na prova documental constante dos autos, à luz do disposto no art. 492, I, “b”, do Código de Processo Penal.3) Definir se a confissão prestada pelo acusado durante seu interrogatório em plenário, ainda que não reiterada pela defesa técnica na fase específica dos debates orais, é suficiente para o reconhecimento da atenuante da confissão espontânea pelo Juiz Presidente do Tribunal do Júri na dosimetria da pena, à luz do art. 492, I, b, do Código de Processo Penal.",,Processos destacados de ofício pelo relator.,,,,,,,,S3,"3372- Homicídio Qualificado, 3372- Homicídio Qualificado",,
4777,Controvérsia,828,,,,Pendente,,"Definir os marcos inicial e final da prescrição na apuração de falta grave na execução penal, bem como a incidência de prescrição superveniente no intervalo entre a homologação da falta pelo Juízo da Execução e o julgamento do agravo em execução.",,Dados parcialmente recuperados via sistema Athos.Vide Tema 1.126/STJ.,,,,,,,,S3,14930- Falta Grave,,
4778,Controvérsia,829,,,,Pendente,,Definir se há legitimidade ativa do servidor público para o cumprimento individual de sentença coletiva da parte que não figurou na lista do sindicato apresentada na fase de conhecimento e que consta da lista de outra ação coletiva ajuizada pelo mesmo ente sindical sobre a mesma questão.,,Dados parcialmente recuperados via sistema Athos.Vide Tema 1.302/STJ.Vide Controvérsia 46/STJ. ,,,,,,,,S1,10946- Correção Monetária de Diferenças Pagas em Atraso,,
4779,Controvérsia,830,,,,Pendente,,"Definir se o benefício fiscal de alíquota zero instituído pelo art. 4º da Lei n. 14.148/2021 (PERSE), concedido por prazo determinado de 60 meses, equipara-se à isenção onerosa para fins de análise da legalidade das mudanças introduzidas pela Lei n. 14.592/2023, à luz do previsto no artigo 178 do CTN e, em caso afirmativo, se os contribuintes que cumpriam os requisitos originais têm direito adquirido ao gozo do benefício, independentemente das restrições e exclusões de CNAEs promovidas pela Medida Provisória n. 1.147/2022 e pela Lei n. 14.592/2023.",,RRC de Origem (TRF5).Vide Tema 1.283/STJ.,,,,,,,,S1,6003- Incentivos fiscais,,
